Stage,StateVarName,Weight
163,inflow:2,1.0
164,inflow,1.0
164,inflow:1,1.0
164,inflow:2,1.0
165,inflow,1.0
165,inflow:1,1.0
165,inflow:2,1.0
166,inflow,1.0
166,inflow:1,1.0
166,inflow:2,1.0
167,inflow,1.0
167,inflow:1,1.0
167,inflow:2,1.0
168,inflow,1.0
168,inflow:1,1.0
168,inflow:2,1.0
169,inflow,1.0
169,inflow:1,1.0
169,inflow:2,1.0
170,inflow,1.0
170,inflow:1,1.0
170,inflow:2,1.0
171,inflow,1.0
171,inflow:1,1.0
171,inflow:2,1.0
172,inflow,1.0
172,inflow:1,1.0
172,inflow:2,1.0
173,inflow,1.0
173,inflow:1,1.0
173,inflow:2,1.0
174,inflow,1.0
174,inflow:1,1.0
174,inflow:2,1.0
175,inflow,1.0
175,inflow:1,1.0
175,inflow:2,1.0
176,inflow,1.0
176,inflow:1,1.0
176,inflow:2,1.0
177,inflow,1.0
177,inflow:1,1.0
177,inflow:2,1.0
178,inflow,1.0
178,inflow:1,1.0
178,inflow:2,1.0
179,inflow,1.0
179,inflow:1,1.0
179,inflow:2,1.0
180,inflow,1.0
180,inflow:1,1.0
180,inflow:2,1.0
181,inflow,1.0
181,inflow:1,1.0
181,inflow:2,1.0
182,inflow,1.0
182,inflow:1,1.0
182,inflow:2,1.0
183,inflow,1.0
183,inflow:1,1.0
183,inflow:2,1.0
184,inflow,1.0
184,inflow:1,1.0
184,inflow:2,1.0
185,inflow,1.0
185,inflow:1,1.0
185,inflow:2,1.0
186,inflow,1.0
186,inflow:1,1.0
186,inflow:2,1.0
187,inflow,1.0
187,inflow:1,1.0
187,inflow:2,1.0
188,inflow,1.0
188,inflow:1,1.0
188,inflow:2,1.0
189,inflow,1.0
189,inflow:1,1.0
189,inflow:2,1.0
190,inflow,1.0
190,inflow:1,1.0
190,inflow:2,1.0
191,inflow,1.0
191,inflow:1,1.0
191,inflow:2,1.0
192,inflow,1.0
192,inflow:1,1.0
192,inflow:2,1.0
193,inflow,1.0
193,inflow:1,1.0
193,inflow:2,1.0
194,inflow,1.0
194,inflow:1,1.0
194,inflow:2,1.0
195,inflow,1.0
195,inflow:1,1.0
195,inflow:2,1.0
196,inflow,1.0
196,inflow:1,1.0
196,inflow:2,1.0
197,inflow,1.0
197,inflow:1,1.0
197,inflow:2,1.0
198,inflow,1.0
198,inflow:1,1.0
198,inflow:2,1.0
199,inflow,1.0
199,inflow:1,1.0
199,inflow:2,1.0
200,inflow,1.0
200,inflow:1,1.0
200,inflow:2,1.0
201,inflow,1.0
201,inflow:1,1.0
201,inflow:2,1.0
202,inflow,1.0
202,inflow:1,1.0
202,inflow:2,1.0
203,inflow,1.0
203,inflow:1,1.0
203,inflow:2,1.0
204,inflow,1.0
204,inflow:1,1.0
204,inflow:2,1.0
205,inflow,1.0
205,inflow:1,1.0
205,inflow:2,1.0
206,inflow,1.0
206,inflow:1,1.0
206,inflow:2,1.0
207,inflow,1.0
207,inflow:1,1.0
207,inflow:2,1.0
208,inflow,1.0
208,inflow:1,1.0
208,inflow:2,1.0
209,inflow,1.0
209,inflow:1,1.0
209,inflow:2,1.0
210,inflow,1.0
210,inflow:1,1.0
210,inflow:2,1.0
211,inflow,1.0
211,inflow:1,1.0
211,inflow:2,1.0
212,inflow,1.0
212,inflow:1,1.0
212,inflow:2,1.0
213,inflow,1.0
213,inflow:1,1.0
213,inflow:2,1.0
214,inflow,1.0
214,inflow:1,1.0
214,inflow:2,1.0
215,inflow,1.0
215,inflow:1,1.0
215,inflow:2,1.0
216,inflow,1.0
216,inflow:1,1.0
216,inflow:2,1.0
217,inflow,1.0
217,inflow:1,1.0
217,inflow:2,1.0
218,inflow,1.0
218,inflow:1,1.0
218,inflow:2,1.0
219,inflow,1.0
219,inflow:1,1.0
219,inflow:2,1.0
220,inflow,1.0
220,inflow:1,1.0
220,inflow:2,1.0
221,inflow,1.0
221,inflow:1,1.0
221,inflow:2,1.0
222,inflow,1.0
222,inflow:1,1.0
222,inflow:2,1.0
223,inflow,1.0
223,inflow:1,1.0
223,inflow:2,1.0
224,inflow,1.0
224,inflow:1,1.0
224,inflow:2,1.0
225,inflow,1.0
225,inflow:1,1.0
225,inflow:2,1.0
226,inflow,1.0
226,inflow:1,1.0
226,inflow:2,1.0
227,inflow,1.0
227,inflow:1,1.0
227,inflow:2,1.0
228,inflow,1.0
228,inflow:1,1.0
228,inflow:2,1.0
229,inflow,1.0
229,inflow:1,1.0
229,inflow:2,1.0
230,inflow,1.0
230,inflow:1,1.0
230,inflow:2,1.0
231,inflow,1.0
231,inflow:1,1.0
231,inflow:2,1.0
232,inflow,1.0
232,inflow:1,1.0
232,inflow:2,1.0
233,inflow,1.0
233,inflow:1,1.0
233,inflow:2,1.0
234,inflow,1.0
234,inflow:1,1.0
234,inflow:2,1.0
235,inflow,1.0
235,inflow:1,1.0
235,inflow:2,1.0
236,inflow,1.0
236,inflow:1,1.0
236,inflow:2,1.0
237,inflow,1.0
237,inflow:1,1.0
237,inflow:2,1.0
238,inflow,1.0
238,inflow:1,1.0
238,inflow:2,1.0
239,inflow,1.0
239,inflow:1,1.0
239,inflow:2,1.0
240,inflow,1.0
240,inflow:1,1.0
240,inflow:2,1.0
241,inflow,1.0
241,inflow:1,1.0
241,inflow:2,1.0
242,inflow,1.0
242,inflow:1,1.0
242,inflow:2,1.0
243,inflow,1.0
243,inflow:1,1.0
243,inflow:2,1.0
244,inflow,1.0
244,inflow:1,1.0
244,inflow:2,1.0
245,inflow,1.0
245,inflow:1,1.0
245,inflow:2,1.0
246,inflow,1.0
246,inflow:1,1.0
246,inflow:2,1.0
247,inflow,1.0
247,inflow:1,1.0
247,inflow:2,1.0
248,inflow,1.0
248,inflow:1,1.0
248,inflow:2,1.0
249,inflow,1.0
249,inflow:1,1.0
249,inflow:2,1.0
250,inflow,1.0
250,inflow:1,1.0
250,inflow:2,1.0
251,inflow,1.0
251,inflow:1,1.0
251,inflow:2,1.0
252,inflow,1.0
252,inflow:1,1.0
252,inflow:2,1.0
253,inflow,1.0
253,inflow:1,1.0
253,inflow:2,1.0
254,inflow,1.0
254,inflow:1,1.0
254,inflow:2,1.0
255,inflow,1.0
255,inflow:1,1.0
255,inflow:2,1.0
256,inflow,1.0
256,inflow:1,1.0
256,inflow:2,1.0
257,inflow,1.0
257,inflow:1,1.0
257,inflow:2,1.0
258,inflow,1.0
258,inflow:1,1.0
